date,1d_open,1d_high,1d_low,1d_close,1d_volume,Close,High,Low,Open,Volume
2010-12-21 00:00:00+00:00,31.8,32.69,31.7101,32.26,777700,2.1506666667,2.1793333333,2.1140066667,2.12,11665500
2010-12-22 00:00:00+00:00,32.25,32.86,31.7,32.63,833300,2.1753333333,2.1906666667,2.1133333333,2.15,12499500
2010-12-23 00:00:00+00:00,31.26,32.48,29.92,30.09,1552600,2.006,2.1653333333,1.9946666667,2.084,23289000
2010-12-27 00:00:00+00:00,28.02,28.58,25.06,25.549,9301900,1.7032666667,1.9053333333,1.6706666667,1.868,139528500
2010-12-28 00:00:00+00:00,25.85,26.75,25.0,26.41,4056300,1.7606666667,1.7833333333,1.6666666667,1.7233333333,60844500
2010-12-29 00:00:00+00:00,27.03,28.01,26.5,27.73,3319200,1.8486666667,1.8673333333,1.7666666667,1.802,49788000
2010-12-30 00:00:00+00:00,27.7,27.9,26.38,26.5,2041100,1.7666666667,1.86,1.7586666667,1.8466666667,30616500
2010-12-31 00:00:00+00:00,26.57,27.25,26.5,26.63,1417900,1.7753333333,1.8166666667,1.7666666667,1.7713333333,21268500
2011-01-03 00:00:00+00:00,26.84,26.9999,25.9,26.62,1283000,1.7746666667,1.7999933333,1.7266666667,1.7893333333,19245000
2011-01-04 00:00:00+00:00,26.66,26.95,26.02,26.67,1187400,1.778,1.7966666667,1.7346666667,1.7773333333,17811000
2011-01-05 00:00:00+00:00,26.48,26.9,26.19,26.83,1446700,1.7886666667,1.7933333333,1.746,1.7653333333,21700500
2011-01-06 00:00:00+00:00,26.83,28.0,26.81,27.88,2061200,1.8586666667,1.8666666667,1.7873333333,1.7886666667,30918000
2011-01-07 00:00:00+00:00,28.0,28.58,27.9,28.24,2247900,1.8826666667,1.9053333333,1.86,1.8666666667,33718500
2011-01-10 00:00:00+00:00,28.17,28.68,28.05,28.45,1342700,1.8966666667,1.912,1.87,1.878,20140500
2011-01-11 00:00:00+00:00,28.59,28.71,26.92,26.96,1710200,1.7973333333,1.914,1.7946666667,1.906,25653000
2011-01-12 00:00:00+00:00,27.01,27.399,26.52,26.96,964400,1.7973333333,1.8266,1.768,1.8006666667,14466000
2011-01-13 00:00:00+00:00,26.96,26.97,26.16,26.22,723600,1.748,1.798,1.744,1.7973333333,10854000
2011-01-14 00:00:00+00:00,26.15,26.58,25.61,25.75,1192000,1.7166666667,1.772,1.7073333333,1.7433333333,17880000
2011-01-18 00:00:00+00:00,25.48,25.64,24.75,25.64,1621700,1.7093333333,1.7093333333,1.65,1.6986666667,24325500
2011-01-19 00:00:00+00:00,25.27,25.47,23.75,24.03,2371500,1.602,1.698,1.5833333333,1.6846666667,35572500
2011-01-20 00:00:00+00:00,24.03,24.45,22.37,22.62,2279900,1.508,1.63,1.4913333333,1.602,34198500
2011-01-21 00:00:00+00:00,23.12,23.59,22.71,23.04,1217000,1.536,1.5726666667,1.514,1.5413333333,18255000
2011-01-24 00:00:00+00:00,23.53,24.81,23.23,24.49,1645100,1.6326666667,1.654,1.5486666667,1.5686666667,24676500
2011-01-25 00:00:00+00:00,24.65,24.89,24.02,24.68,1271500,1.6453333333,1.6593333333,1.6013333333,1.6433333333,19072500
2011-01-26 00:00:00+00:00,24.71,24.88,24.1,24.75,1079900,1.65,1.6586666667,1.6066666667,1.6473333333,16198500
2011-01-27 00:00:00+00:00,24.74,25.08,24.53,24.92,895700,1.6613333333,1.672,1.6353333333,1.6493333333,13435500
2011-01-28 00:00:00+00:00,24.88,24.88,23.75,24.01,1048400,1.6006666667,1.6586666667,1.5833333333,1.6586666667,15726000
2011-01-31 00:00:00+00:00,24.05,24.12,23.5,24.1,830300,1.6066666667,1.608,1.5666666667,1.6033333333,12454500
2011-02-01 00:00:00+00:00,24.31,24.73,23.54,23.91,707800,1.594,1.6486666667,1.5693333333,1.6206666667,10617000
2011-02-02 00:00:00+00:00,24.16,24.18,23.669,23.94,569500,1.596,1.612,1.5779333333,1.6106666667,8542500
2011-02-03 00:00:00+00:00,23.82,23.9,23.15,23.63,512000,1.5753333333,1.5933333333,1.5433333333,1.588,7680000
2011-02-04 00:00:00+00:00,23.44,23.67,23.22,23.46,544000,1.564,1.578,1.548,1.5626666667,8160000
2011-02-07 00:00:00+00:00,23.26,23.26,22.88,23.07,895100,1.538,1.5506666667,1.5253333333,1.5506666667,13426500
2011-02-08 00:00:00+00:00,23.78,25.25,23.0,24.49,3504900,1.6326666667,1.6833333333,1.5333333333,1.5853333333,52573500
2011-02-09 00:00:00+00:00,24.13,24.18,22.79,23.21,2635600,1.5473333333,1.612,1.5193333333,1.6086666667,39534000
2011-02-10 00:00:00+00:00,23.26,23.64,22.81,23.215,836100,1.5476666667,1.576,1.5206666667,1.5506666667,12541500
